entrypoint,module,type,required,capabilities
about.php,menu,core,True,
admin/accommodation.php,accommodation,integration,False,cashier_accounts;shift_supervision
admin/accommodation_settings.php,accommodation,integration,False,cashier_accounts;shift_supervision
admin/activity_report.php,reporting,business,False,
admin/analytics.php,reporting,business,False,
admin/campaign_form.php,marketing,business,False,
admin/categories.php,menu,core,True,
admin/category_form.php,menu,core,True,
admin/center_settings.php,personnel,integration,False,
admin/event_form.php,marketing,business,False,
admin/events.php,marketing,business,False,
admin/expenses.php,expenses,business,False,shift_supervision
admin/financial_periods.php,finance,core,True,cashier_accounts
admin/index.php,platform,core,True,shift_supervision
admin/inventory.php,inventory,operational,False,inventory_view;inventory_cost_view;inventory_operations;inventory_finalize;inventory_manage
admin/inventory_adjustment.php,inventory,operational,False,inventory_view;inventory_cost_view;inventory_operations;inventory_finalize;inventory_manage
admin/inventory_categories.php,inventory,operational,False,inventory_view;inventory_cost_view;inventory_operations;inventory_finalize;inventory_manage
admin/inventory_count.php,inventory,operational,False,inventory_view;inventory_cost_view;inventory_operations;inventory_finalize;inventory_manage
admin/inventory_count_start.php,inventory,operational,False,inventory_view;inventory_cost_view;inventory_operations;inventory_finalize;inventory_manage
admin/inventory_item.php,inventory,operational,False,inventory_view;inventory_cost_view;inventory_operations;inventory_finalize;inventory_manage
admin/inventory_item_form.php,inventory,operational,False,inventory_view;inventory_cost_view;inventory_operations;inventory_finalize;inventory_manage
admin/inventory_items.php,inventory,operational,False,inventory_view;inventory_cost_view;inventory_operations;inventory_finalize;inventory_manage
admin/inventory_opening.php,inventory,operational,False,inventory_view;inventory_cost_view;inventory_operations;inventory_finalize;inventory_manage
admin/inventory_receive.php,inventory,operational,False,inventory_view;inventory_cost_view;inventory_operations;inventory_finalize;inventory_manage
admin/inventory_report.php,reporting,business,False,
admin/inventory_review.php,inventory,operational,False,inventory_view;inventory_cost_view;inventory_operations;inventory_finalize;inventory_manage
admin/inventory_waste.php,inventory,operational,False,inventory_view;inventory_cost_view;inventory_operations;inventory_finalize;inventory_manage
admin/invoices.php,finance,core,True,cashier_accounts
admin/item_form.php,menu,core,True,
admin/items.php,menu,core,True,
admin/maintenance.php,platform,core,True,shift_supervision
admin/marketing.php,marketing,business,False,
admin/menu_form.php,menu,core,True,
admin/menu_transfer.php,menu,core,True,
admin/messages.php,platform,core,True,shift_supervision
admin/modules.php,platform,core,True,shift_supervision
admin/operations_report.php,reporting,business,False,
admin/personnel.php,personnel,integration,False,
admin/print_templates.php,printing,platform_service,True,
admin/printing.php,printing,platform_service,True,
admin/purchases.php,supply,operational,False,preparation;inventory_operations;shift_supervision
admin/purchases_batch.php,supply,operational,False,preparation;inventory_operations;shift_supervision
admin/push_devices.php,notifications,platform_service,True,orders_floor;preparation
admin/qr.php,orders,core,True,orders_floor;preparation;shift_supervision
admin/settings.php,platform,core,True,shift_supervision
admin/subscribers.php,subscribers,business,False,cashier_accounts
