file,line,operation,table,table_owner
admin/campaign_form.php,20,INSERT INTO,campaigns,marketing
admin/campaign_form.php,20,UPDATE,campaigns,marketing
admin/categories.php,21,UPDATE,categories,menu
admin/categories.php,30,DELETE FROM,categories,menu
admin/category_form.php,37,UPDATE,categories,menu
admin/category_form.php,41,INSERT INTO,categories,menu
admin/category_form.php,46,DELETE FROM,menu_categories,menu
admin/category_form.php,47,DELETE FROM,menu_categories,menu
admin/category_form.php,55,DELETE FROM,menu_items,menu
admin/category_form.php,58,DELETE FROM,menu_items,menu
admin/event_form.php,78,UPDATE,events,marketing
admin/event_form.php,82,INSERT INTO,events,marketing
admin/events.php,21,UPDATE,events,marketing
admin/events.php,26,UPDATE,events,marketing
admin/events.php,29,UPDATE,events,marketing
admin/events.php,32,UPDATE,events,marketing
admin/events.php,35,DELETE FROM,events,marketing
admin/financial_periods.php,19,UPDATE,financial_periods,finance
admin/inventory_categories.php,27,UPDATE,inventory_categories,inventory
admin/inventory_categories.php,32,INSERT INTO,inventory_categories,inventory
admin/inventory_categories.php,48,UPDATE,inventory_categories,inventory
admin/inventory_count.php,54,UPDATE,inventory_count_lines,inventory
admin/inventory_count.php,55,UPDATE,inventory_count_lines,inventory
admin/inventory_count.php,56,UPDATE,inventory_count_lines,inventory
admin/inventory_count.php,57,UPDATE,inventory_count_lines,inventory
admin/inventory_item_form.php,129,UPDATE,inventory_items,inventory
admin/inventory_item_form.php,134,INSERT INTO,inventory_items,inventory
admin/inventory_item_form.php,137,INSERT INTO,inventory_balances,inventory
admin/inventory_item_form.php,170,UPDATE,inventory_purchase_units,inventory
admin/inventory_item_form.php,171,INSERT INTO,inventory_purchase_units,inventory
admin/inventory_item_form.php,175,UPDATE,inventory_purchase_units,inventory
admin/inventory_item_form.php,179,INSERT INTO,inventory_purchase_units,inventory
admin/inventory_item_form.php,193,UPDATE,inventory_items,inventory
admin/inventory_items.php,25,UPDATE,inventory_items,inventory
admin/inventory_review.php,21,UPDATE,inventory_items,inventory
admin/inventory_review.php,22,UPDATE,inventory_purchase_units,inventory
admin/item_form.php,156,UPDATE,items,menu
admin/item_form.php,159,INSERT INTO,items,menu
